name,return_type,params,prototype,usage_class,usage_count,stm32,nrf5x,esp32,files
jshGetMillisecondsFromTime,JsVarFloat,JsSysTime time,JsVarFloat jshGetMillisecondsFromTime(JsSysTime time),used by core/libs,22,yes,yes,yes,libs/banglejs/jswrap_bangle.c | libs/misc/heartrate.c | libs/misc/heartrate_vc31_binary.c | libs/misc/hrm_emulated.c | libs/pipboy/jswrap_pipboy.c | libs/trigger/jswrap_trigger.c | src/jshardware.h | src/jsinteractive.c | src/jsserial.c | src/jswrap_process.c | src/jswrap_timer.c | targets/embed/main.c
jshInterruptOff,void,,void jshInterruptOff(),used by core/libs,23,yes,yes,yes,libs/neopixel/jswrap_neopixel.c | libs/pipboy/stm32_i2s.c | libs/tv/tv.c | src/jsdevices.c | src/jshardware.h | src/jstimer.c | src/jsvar.c | src/jswrap_interactive.c | src/jswrap_onewire.c | src/jswrap_spi_i2c.c | src/jswrap_timer.c | targets/embed/main.c
jshInterruptOn,void,,void jshInterruptOn(),used by core/libs,23,yes,yes,yes,libs/neopixel/jswrap_neopixel.c | libs/pipboy/stm32_i2s.c | libs/tv/tv.c | src/jsdevices.c | src/jshardware.h | src/jstimer.c | src/jsvar.c | src/jswrap_interactive.c | src/jswrap_onewire.c | src/jswrap_spi_i2c.c | src/jswrap_timer.c | targets/embed/main.c
jshIsInInterrupt,bool,,bool jshIsInInterrupt(),used by core/libs,15,yes,yes,yes,libs/graphics/jswrap_terminal.c | src/jsdevices.c | src/jshardware.h | src/jsvar.c | targets/embed/main.c | targets/emscripten/jshardware.c | targets/esp32/jshardware.c | targets/esp8266/jshardware.c | targets/linux/jshardware.c | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md
jshDelayMicroseconds,void,int microsec,void jshDelayMicroseconds(int microsec),used by core/libs,35,yes,yes,yes,libs/banglejs/jswrap_bangle.c | libs/filesystem/jswrap_file.c | libs/graphics/lcd_fsmc.c | libs/graphics/lcd_memlcd.c | libs/graphics/lcd_spi_unbuf.c | libs/graphics/lcd_spilcd.c | libs/graphics/lcd_st7789_8bit.c | libs/hexbadge/jswrap_hexbadge.c | libs/misc/hrm_vc31.c | libs/misc/jswrap_esp32_cyd.c | libs/network/cc3000/board_spi.c | libs/network/wiznet/DNS/dns.c
jshPinSetValue,void,"Pin pin, bool value","void jshPinSetValue(Pin pin, bool value)",used by core/libs,37,yes,yes,yes,libs/banglejs/jswrap_bangle.c | libs/graphics/lcd_fsmc.c | libs/graphics/lcd_memlcd.c | libs/graphics/lcd_spi_unbuf.c | libs/graphics/lcd_spilcd.c | libs/graphics/lcd_st7789_8bit.c | libs/hexbadge/jswrap_hexbadge.c | libs/joltjs/jswrap_jolt.c | libs/network/cc3000/board_spi.c | libs/nordic_thingy/jswrap_thingy.c | libs/pixljs/jswrap_pixljs.c | libs/puckjs/jswrap_puck.c
jshPinGetValue,bool,Pin pin,bool jshPinGetValue(Pin pin),used by core/libs,32,yes,yes,yes,libs/banglejs/jswrap_bangle.c | libs/filesystem/jswrap_file.c | libs/graphics/lcd_fsmc.c | libs/joltjs/jswrap_jolt.c | libs/misc/jswrap_esp32_cyd.c | libs/network/cc3000/board_spi.c | libs/pipboy/jswrap_pipboy.c | libs/pixljs/jswrap_pixljs.c | libs/puckjs/jswrap_puck.c | src/jsdevices.c | src/jsflash.c | src/jshardware.h
jshPinSetState,void,"Pin pin, JshPinState state","void jshPinSetState(Pin pin, JshPinState state)",used by core/libs,32,yes,yes,yes,libs/banglejs/jswrap_bangle.c | libs/graphics/lcd_fsmc.c | libs/joltjs/jswrap_jolt.c | libs/microbit/jswrap_microbit.c | libs/misc/jswrap_esp32_cyd.c | libs/neopixel/jswrap_neopixel.c | libs/network/cc3000/board_spi.c | libs/nordic_thingy/jswrap_thingy.c | libs/pipboy/jswrap_pipboy.c | libs/pixljs/jswrap_pixljs.c | libs/puckjs/jswrap_puck.c | libs/tv/tv.c
jshPinGetState,JshPinState,Pin pin,JshPinState jshPinGetState(Pin pin),used by core/libs,16,yes,yes,yes,libs/puckjs/jswrap_puck.c | src/jshardware.h | src/jsinteractive.c | src/jswrap_espruino.c | src/jswrap_io.c | src/jswrap_pin.c | targets/emscripten/jshardware.c | targets/esp32/jshardware.c | targets/esp8266/jshardware.c | targets/linux/jshardware.c | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md
jshIsPinStateDefault,bool,"Pin pin, JshPinState state","bool jshIsPinStateDefault(Pin pin, JshPinState state)",used by core/libs,7,,,yes,src/jshardware.h | src/jshardware_common.c | src/jsinteractive.c | targets/esp32/jshardware.c | targets/esp8266/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md
jshPinAnalog,JsVarFloat,Pin pin,JsVarFloat jshPinAnalog(Pin pin),used by core/libs,18,yes,yes,yes,libs/banglejs/jswrap_bangle.c | libs/joltjs/jswrap_jolt.c | libs/misc/hrm_analog.c | libs/pixljs/jswrap_pixljs.c | libs/puckjs/jswrap_puck.c | src/jshardware.h | src/jswrap_pin.c | src/jswrap_waveform.c | targets/emscripten/jshardware.c | targets/esp32/jshardware.c | targets/esp8266/jshardware.c | targets/linux/jshardware.c
jshPinAnalogFast,int,Pin pin,int jshPinAnalogFast(Pin pin),used by core/libs,12,yes,yes,yes,src/jshardware.h | src/jstimer.c | targets/emscripten/jshardware.c | targets/esp32/jshardware.c | targets/esp8266/jshardware.c | targets/linux/jshardware.c | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md | targets/rp2040/jshardware.c | targets/stm32/jshardware.c | targets/stm32_ll/jshardware.c
jshPinAnalogOutput,JshPinFunction,"Pin pin, JsVarFloat value, JsVarFloat freq, JshAnalogOutputFlags flags","JshPinFunction jshPinAnalogOutput(Pin pin, JsVarFloat value, JsVarFloat freq, JshAnalogOutputFlags flags)",used by core/libs,16,yes,yes,yes,libs/banglejs/jswrap_bangle.c | libs/graphics/lcd_memlcd.c | libs/puckjs/jswrap_puck.c | libs/tv/tv.c | src/jshardware.h | src/jswrap_io.c | targets/emscripten/jshardware.c | targets/esp32/jshardware.c | targets/esp8266/jshardware.c | targets/linux/jshardware.c | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md
jshCanWatch,bool,Pin pin,bool jshCanWatch(Pin pin),used by core/libs,12,yes,yes,yes,src/jshardware.h | src/jswrap_io.c | targets/emscripten/jshardware.c | targets/esp32/jshardware.c | targets/esp8266/jshardware.c | targets/linux/jshardware.c | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md | targets/rp2040/jshardware.c | targets/stm32/jshardware.c | targets/stm32_ll/jshardware.c
jshPinWatch,IOEventFlags,"Pin pin, bool shouldWatch, JshPinWatchFlags flags","IOEventFlags jshPinWatch(Pin pin, bool shouldWatch, JshPinWatchFlags flags)",used by core/libs,18,yes,yes,yes,libs/banglejs/jswrap_bangle.c | libs/misc/hrm_vc31.c | libs/puckjs/jswrap_puck.c | libs/trigger/jswrap_trigger.c | src/jshardware.h | src/jsinteractive.c | src/jsserial.c | src/jswrap_io.c | targets/emscripten/jshardware.c | targets/esp32/jshardware.c | targets/esp8266/jshardware.c | targets/linux/jshardware.c
jshGetCurrentPinFunction,JshPinFunction,Pin pin,JshPinFunction jshGetCurrentPinFunction(Pin pin),used by core/libs,12,yes,yes,yes,src/jshardware.h | src/jstimer.c | targets/emscripten/jshardware.c | targets/esp32/jshardware.c | targets/esp8266/jshardware.c | targets/linux/jshardware.c | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md | targets/rp2040/jshardware.c | targets/stm32/jshardware.c | targets/stm32_ll/jshardware.c
jshSetOutputValue,void,"JshPinFunction func, int value","void jshSetOutputValue(JshPinFunction func, int value)",used by core/libs,12,yes,yes,yes,src/jshardware.h | src/jstimer.c | targets/emscripten/jshardware.c | targets/esp32/jshardware.c | targets/esp8266/jshardware.c | targets/linux/jshardware.c | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md | targets/rp2040/jshardware.c | targets/stm32/jshardware.c | targets/stm32_ll/jshardware.c
jshEnableWatchDog,void,JsVarFloat timeout,void jshEnableWatchDog(JsVarFloat timeout),used by core/libs,13,yes,yes,yes,libs/banglejs/jswrap_bangle.c | src/jshardware.h | src/jswrap_espruino.c | targets/emscripten/jshardware.c | targets/esp32/jshardware.c | targets/esp8266/jshardware.c | targets/linux/jshardware.c | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md | targets/rp2040/jshardware.c | targets/stm32/jshardware.c
jshKickWatchDog,void,,void jshKickWatchDog(),used by core/libs,19,yes,yes,yes,libs/banglejs/jswrap_bangle.c | libs/graphics/jswrap_graphics.c | src/jsflash.c | src/jshardware.h | src/jshardware_common.c | src/jsinteractive.c | src/jsvar.c | src/jswrap_espruino.c | targets/embed/main.c | targets/emscripten/jshardware.c | targets/esp32/jshardware.c | targets/esp8266/jshardware.c
jshKickSoftWatchDog,void,,void jshKickSoftWatchDog(),used by core/libs,7,,yes,,src/jsflash.c | src/jshardware.h | src/jshardware_common.c | src/jsvar.c | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md
jshGetWatchedPinState,bool,IOEventFlags device,bool jshGetWatchedPinState(IOEventFlags device),used by core/libs,12,yes,yes,yes,src/jsdevices.c | src/jshardware.h | targets/emscripten/jshardware.c | targets/esp32/jshardware.c | targets/esp8266/jshardware.c | targets/linux/jshardware.c | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md | targets/rp2040/jshardware.c | targets/stm32/jshardware.c | targets/stm32_ll/jshardware.c
jshIsEventForPin,bool,"IOEventFlags eventFlags, Pin pin","bool jshIsEventForPin(IOEventFlags eventFlags, Pin pin)",used by core/libs,13,yes,yes,yes,libs/trigger/trigger.c | src/jshardware.h | src/jsinteractive.c | targets/emscripten/jshardware.c | targets/esp32/jshardware.c | targets/esp8266/jshardware.c | targets/linux/jshardware.c | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md | targets/rp2040/jshardware.c | targets/stm32/jshardware.c
jshIsDeviceInitialised,bool,IOEventFlags device,bool jshIsDeviceInitialised(IOEventFlags device),used by core/libs,18,yes,yes,yes,src/jshardware.h | src/jsinteractive.c | src/jsserial.c | src/jsspi.c | src/jswrap_serial.c | src/jswrap_spi_i2c.c | targets/emscripten/jshardware.c | targets/esp32/jshardware.c | targets/esp32/jshardwareI2c.c | targets/esp32/jshardwareSpi.c | targets/esp8266/jshardware.c | targets/linux/jshardware.c
jshUSARTInitInfo,void,JshUSARTInfo *inf,void jshUSARTInitInfo(JshUSARTInfo *inf),used by core/libs,10,yes,yes,,libs/banglejs/jswrap_bangle.c | src/jshardware.h | src/jshardware_common.c | src/jsinteractive.c | src/jsserial.c | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md | targets/stm32/jshardware.c | targets/stm32_ll/jshardware.c
jshUSARTSetup,void,"IOEventFlags device, JshUSARTInfo *inf","void jshUSARTSetup(IOEventFlags device, JshUSARTInfo *inf)",used by core/libs,15,yes,yes,yes,libs/banglejs/jswrap_bangle.c | src/jshardware.h | src/jsinteractive.c | src/jsserial.c | src/jswrap_serial.c | targets/emscripten/jshardware.c | targets/esp32/jshardware.c | targets/esp8266/jshardware.c | targets/linux/jshardware.c | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md
jshUSARTUnSetup,void,IOEventFlags device,void jshUSARTUnSetup(IOEventFlags device),used by core/libs,8,yes,yes,,libs/pipboy/jswrap_pipboy.c | src/jshardware.h | src/jshardware_common.c | src/jswrap_serial.c | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md | targets/stm32/jshardware.c
jshUSARTKick,void,IOEventFlags device,void jshUSARTKick(IOEventFlags device),used by core/libs,14,yes,yes,yes,libs/pipboy/jswrap_pipboy.c | src/jsdevices.c | src/jshardware.h | src/jsinteractive.c | targets/emscripten/jshardware.c | targets/esp32/jshardware.c | targets/esp8266/jshardware.c | targets/linux/jshardware.c | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md | targets/rp2040/jshardware.c
jshSPIInitInfo,void,JshSPIInfo *inf,void jshSPIInitInfo(JshSPIInfo *inf),used by core/libs,15,,,,libs/filesystem/jswrap_file.c | libs/graphics/lcd_memlcd.c | libs/graphics/lcd_spi_unbuf.c | libs/graphics/lcd_spilcd.c | libs/misc/jswrap_esp32_cyd.c | libs/neopixel/jswrap_neopixel.c | libs/network/cc3000/jswrap_cc3000.c | libs/network/wiznet/jswrap_wiznet.c | libs/tv/tv.c | src/jshardware.h | src/jshardware_common.c | src/jsspi.c
jshSPISetup,void,"IOEventFlags device, JshSPIInfo *inf","void jshSPISetup(IOEventFlags device, JshSPIInfo *inf)",used by core/libs,22,yes,yes,yes,libs/filesystem/jswrap_file.c | libs/graphics/lcd_memlcd.c | libs/graphics/lcd_spi_unbuf.c | libs/graphics/lcd_spilcd.c | libs/neopixel/jswrap_neopixel.c | libs/network/cc3000/jswrap_cc3000.c | libs/network/wiznet/jswrap_wiznet.c | libs/tv/tv.c | src/jshardware.h | src/jsspi.c | src/jswrap_spi_i2c.c | targets/emscripten/jshardware.c
jshSPISend,int,"IOEventFlags device, int data","int jshSPISend(IOEventFlags device, int data)",used by core/libs,19,yes,yes,yes,libs/graphics/lcd_pcd8544.c | libs/graphics/lcd_spi_unbuf.c | libs/graphics/lcd_spilcd.c | libs/network/cc3000/board_spi.c | libs/network/wiznet/jswrap_wiznet.c | src/jshardware.h | src/jshardware_common.c | src/jsspi.c | targets/emscripten/jshardware.c | targets/esp32/jshardwareSpi.c | targets/esp32/jshardwareSpi.h | targets/esp8266/jshardware.c
jshSPISend16,void,"IOEventFlags device, int data","void jshSPISend16(IOEventFlags device, int data)",used by core/libs,13,yes,yes,yes,src/jshardware.h | src/jsspi.c | targets/emscripten/jshardware.c | targets/esp32/jshardwareSpi.c | targets/esp32/jshardwareSpi.h | targets/esp8266/jshardware.c | targets/linux/jshardware.c | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md | targets/rp2040/jshardware.c | targets/stm32/jshardware.c
jshSPISet16,void,"IOEventFlags device, bool is16","void jshSPISet16(IOEventFlags device, bool is16)",used by core/libs,14,yes,yes,yes,libs/neopixel/jswrap_neopixel.c | src/jshardware.h | src/jswrap_spi_i2c.c | targets/emscripten/jshardware.c | targets/esp32/jshardwareSpi.c | targets/esp32/jshardwareSpi.h | targets/esp8266/jshardware.c | targets/linux/jshardware.c | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md | targets/rp2040/jshardware.c
jshSPISetReceive,void,"IOEventFlags device, bool isReceive","void jshSPISetReceive(IOEventFlags device, bool isReceive)",used by core/libs,15,yes,yes,yes,libs/neopixel/jswrap_neopixel.c | src/jshardware.h | src/jsspi.c | src/jswrap_spi_i2c.c | targets/emscripten/jshardware.c | targets/esp32/jshardwareSpi.c | targets/esp32/jshardwareSpi.h | targets/esp8266/jshardware.c | targets/linux/jshardware.c | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md
jshSPIWait,void,IOEventFlags device,void jshSPIWait(IOEventFlags device),used by core/libs,17,yes,yes,yes,libs/graphics/lcd_spilcd.c | libs/neopixel/jswrap_neopixel.c | src/jshardware.h | src/jshardware_common.c | src/jsspi.c | src/jswrap_spi_i2c.c | targets/emscripten/jshardware.c | targets/esp32/jshardwareSpi.c | targets/esp32/jshardwareSpi.h | targets/esp8266/jshardware.c | targets/linux/jshardware.c | targets/nrf5x/jshardware.c
jshI2CInitInfo,void,JshI2CInfo *inf,void jshI2CInitInfo(JshI2CInfo *inf),used by core/libs,9,,,,libs/banglejs/jswrap_bangle.c | libs/microbit/jswrap_microbit.c | libs/pipboy/jswrap_pipboy.c | libs/puckjs/jswrap_puck.c | src/jshardware.h | src/jshardware_common.c | src/jsi2c.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md
jshI2CSetup,void,"IOEventFlags device, JshI2CInfo *inf","void jshI2CSetup(IOEventFlags device, JshI2CInfo *inf)",used by core/libs,15,yes,yes,yes,libs/microbit/jswrap_microbit.c | libs/pipboy/jswrap_pipboy.c | src/jshardware.h | src/jswrap_spi_i2c.c | targets/emscripten/jshardware.c | targets/esp32/jshardwareI2c.c | targets/esp32/jshardwareI2c.h | targets/esp8266/jshardware.c | targets/linux/jshardware.c | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md
jshI2CUnSetup,void,IOEventFlags device,void jshI2CUnSetup(IOEventFlags device),used by core/libs,6,yes,,,libs/pipboy/jswrap_pipboy.c | src/jshardware.h | src/jshardware_common.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md | targets/stm32/jshardware.c
jshI2CWrite,void,"IOEventFlags device, unsigned char address, int nBytes, const unsigned char *data, bool sendStop","void jshI2CWrite(IOEventFlags device, unsigned char address, int nBytes, const unsigned char *data, bool sendStop)",used by core/libs,15,yes,yes,yes,libs/microbit/jswrap_microbit.c | libs/pipboy/jswrap_pipboy.c | src/jshardware.h | src/jswrap_spi_i2c.c | targets/emscripten/jshardware.c | targets/esp32/jshardwareI2c.c | targets/esp32/jshardwareI2c.h | targets/esp8266/jshardware.c | targets/linux/jshardware.c | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md
jshI2CRead,void,"IOEventFlags device, unsigned char address, int nBytes, unsigned char *data, bool sendStop","void jshI2CRead(IOEventFlags device, unsigned char address, int nBytes, unsigned char *data, bool sendStop)",used by core/libs,15,yes,yes,yes,libs/microbit/jswrap_microbit.c | libs/pipboy/jswrap_pipboy.c | src/jshardware.h | src/jswrap_spi_i2c.c | targets/emscripten/jshardware.c | targets/esp32/jshardwareI2c.c | targets/esp32/jshardwareI2c.h | targets/esp8266/jshardware.c | targets/linux/jshardware.c | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md
jshFlashGetPage,bool,"uint32_t addr, uint32_t *startAddr, uint32_t *pageSize","bool jshFlashGetPage(uint32_t addr, uint32_t *startAddr, uint32_t *pageSize)",used by core/libs,14,yes,yes,yes,src/jsflash.c | src/jshardware.h | src/jshardware_common.c | src/jswrap_flash.c | targets/emscripten/jshardware.c | targets/esp32/jshardware.c | targets/esp8266/jshardware.c | targets/linux/jshardware.c | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md | targets/rp2040/jshardware.c
jshFlashGetFree,JsVar *,,JsVar *jshFlashGetFree(),used by core/libs,13,yes,yes,yes,src/jshardware.h | src/jswrap_flash.c | targets/emscripten/jshardware.c | targets/esp32/jshardware.c | targets/esp8266/jshardware.c | targets/esp8266/jswrap_esp8266.c | targets/linux/jshardware.c | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md | targets/rp2040/jshardware.c | targets/stm32/jshardware.c
jshFlashErasePage,void,uint32_t addr,void jshFlashErasePage(uint32_t addr),used by core/libs,16,yes,yes,yes,libs/banglejs/jswrap_bangle.c | src/jsflash.c | src/jshardware.h | src/jshardware_common.c | src/jswrap_flash.c | targets/emscripten/jshardware.c | targets/esp32/jshardware.c | targets/esp8266/jshardware.c | targets/linux/jshardware.c | targets/nrf5x/bluetooth.c | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md
jshFlashErasePages,bool,"uint32_t addr, uint32_t byteLength","bool jshFlashErasePages(uint32_t addr, uint32_t byteLength)",used by core/libs,6,,yes,,src/jsflash.c | src/jshardware.h | src/jshardware_common.c | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md
jshFlashRead,void,"void *buf, uint32_t addr, uint32_t len","void jshFlashRead(void *buf, uint32_t addr, uint32_t len)",used by core/libs,19,yes,yes,yes,libs/banglejs/jswrap_bangle.c | libs/joltjs/jswrap_jolt.c | libs/puckjs/jswrap_puck.c | src/jsflash.c | src/jshardware.h | src/jshardware_common.c | src/jsvariterator.h | src/jswrap_flash.c | src/jswrap_storage.c | targets/emscripten/jshardware.c | targets/esp32/jshardware.c | targets/esp8266/jshardware.c
jshFlashWrite,void,"void *buf, uint32_t addr, uint32_t len","void jshFlashWrite(void *buf, uint32_t addr, uint32_t len)",used by core/libs,15,yes,yes,yes,libs/joltjs/jswrap_jolt.c | libs/puckjs/jswrap_puck.c | src/jsflash.c | src/jshardware.h | src/jshardware_common.c | targets/emscripten/jshardware.c | targets/esp32/jshardware.c | targets/esp8266/jshardware.c | targets/linux/jshardware.c | targets/nrf5x/jshardware.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md
jshFlashWriteAligned,void,"void *buf, uint32_t addr, uint32_t len","void jshFlashWriteAligned(void *buf, uint32_t addr, uint32_t len)",used by core/libs,6,,,,src/jsflash.c | src/jshardware.h | src/jshardware_common.c | src/jswrap_flash.c | targets/rp2040/docs/archive/jshardware_function_matrix.md | targets/rp2040/docs/jshardware_function_matrix_V2.md
