LFBGA100,LQFP48,TFBGA64,LQFP64,LQFP100,VFQFPN36,Name,Type,IO,After Reset,Default,Remap
K5,0,0,0,40,0,PE9,I/O,FT,PE9,,TIM1_CH1
G6,0,0,0,41,0,PE10,I/O,FT,PE10,,TIM1_CH2N
H6,0,0,0,42,0,PE11,I/O,FT,PE11,,TIM1_CH2
J6,0,0,0,43,0,PE12,I/O,FT,PE12,,TIM1_CH3N
K6,0,0,0,44,0,PE13,I/O,FT,PE13,,TIM1_CH3
G7,0,0,0,45,0,PE14,I/O,FT,PE14,,TIM1_CH4
H7,0,0,0,46,0,PE15,I/O,FT,PE15,,TIM1_BKIN
J7,21,G7,29,47,0,PB10,I/O,FT,PB10,I2C2_SCL/USART3_TX,TIM2_CH3
K7,22,H7,30,48,0,PB11,I/O,FT,PB11,I2C2_SDA/USART3_RX,TIM2_CH4
E7,23,D6,31,49,18,VSS_1,S,,VSS_1,,
F7,24,E6,32,50,19,VDD_1,S,,VDD_1,,
K8,25,H8,33,51,0,PB12,I/O,FT,PB12,SPI2_NSS/I2C2_SMBAl/USART3_CK/TIM1_BKIN,
J8,26,G8,34,52,0,PB13,I/O,FT,PB13,SPI2_SCK/USART3_CTS/TIM1_CH1N,
H8,27,F8,35,53,0,PB14,I/O,FT,PB14,SPI2_MISO/USART3_RTS/TIM1_CH2N,
G8,28,F7,36,54,0,PB15,I/O,FT,PB15,SPI2_MOSI/TIM1_CH3N,
K9,0,0,0,55,0,PD8,I/O,FT,PD8,,USART3_TX
J9,0,0,0,56,0,PD9,I/O,FT,PD9,,USART3_RX
H9,0,0,0,57,0,PD10,I/O,FT,PD10,,USART3_CK
G9,0,0,0,58,0,PD11,I/O,FT,PD11,,USART3_CTS
K10,0,0,0,59,0,PD12,I/O,FT,PD12,,TIM4_CH1/USART3_RTS
J10,0,0,0,60,0,PD13,I/O,FT,PD13,,TIM4_CH2
H10,0,0,0,61,0,PD14,I/O,FT,PD14,,TIM4_CH3
G10,0,0,0,62,0,PD15,I/O,FT,PD15,,TIM4_CH4
F10,0,F6,37,63,0,PC6,I/O,FT,PC6,,TIM3_CH1
E10,,E7,38,64,0,PC7,I/O,FT,PC7,,TIM3_CH2
F9,,E8,39,65,0,PC8,I/O,FT,PC8,,TIM3_CH3
E9,0,D8,40,66,0,PC9,I/O,FT,PC9,,TIM3_CH4
D9,29,D7,41,67,20,PA8,I/O,FT,PA8,USART1_CK/TIM1_CH1/MCO,
C9,30,C7,42,68,21,PA9,I/O,FT,PA9,USART1_TX/TIM1_CH2,
D10,31,C6,43,69,22,PA10,I/O,FT,PA10,USART1_RX/TIM1_CH3,
C10,32,C8,44,70,23,PA11,I/O,FT,PA11,USART1_CTS/CANRX/USBDM/TIM1_CH4,
B10,33,B8,45,71,24,PA12,I/O,FT,PA12,USART1_RTS/CANTX/USBDP/TIM1_ETR,
A10,34,A8,46,72,25,PA13,I/O,FT,JTMS/SWDIO,,PA13
F8,0,0,0,73,0,Not,connected,,,,
E6,35,D5,47,74,26,VSS_2,S,,VSS_2,,
F6,36,E5,48,75,27,VDD_2,S,,VDD_2,,
A9,37,A7,49,76,28,PA14,I/O,FT,JTCK/SWCLK,,PA14
A8,38,A6,50,77,29,PA15,I/O,FT,JTDI,,TIM2_CH1_ETR/PA15/SPI1_NSS
B9,0,B7,51,78,,PC10,I/O,FT,PC10,,USART3_TX
B8,0,B6,52,79,,PC11,I/O,FT,PC11,,USART3_RX
C8,0,C5,53,80,,PC12,I/O,FT,PC12,,USART3_CK
D8,5,C1,5,81,2,PD0,I/O,FT,OSC_IN,,CANRX
E8,6,D1,6,82,3,PD1,I/O,FT,OSC_OUT,,CANTX
B7,,B5,54,83,0,PD2,I/O,FT,PD2,TIM3_ETR,
C7,0,0,0,84,0,PD3,I/O,FT,PD3,,USART2_CTS
D7,0,0,0,85,0,PD4,I/O,FT,PD4,,USART2_RTS
B6,0,0,0,86,0,PD5,I/O,FT,PD5,,USART2_TX
C6,0,0,0,87,0,PD6,I/O,FT,PD6,,USART2_RX
D6,0,0,0,88,0,PD7,I/O,FT,PD7,,USART2_CK
A7,39,A5,55,89,30,PB3,I/O,FT,JTDO,,TIM2_CH2/PB3/TRACESWO/SPI1_SCK
A6,40,A4,56,90,31,PB4,I/O,FT,JNTRST,,TIM3_CH1/PB4/SPI1_MISO
C5,41,C4,57,91,32,PB5,I/O,,PB5,I2C1_SMBAl,TIM3_CH2/SPI1_MOSI
B5,42,D3,58,92,33,PB6,I/O,FT,PB6,I2C1_SCL/TIM4_CH1,USART1_TX
A5,43,C3,59,93,34,PB7,I/O,FT,PB7,I2C1_SDA/TIM4_CH2,USART1_RX
D5,44,B4,60,94,35,BOOT0,I,,BOOT0,,
B4,45,B3,61,95,0,PB8,I/O,FT,PB8,TIM4_CH3,I2C1_SCL/CANRX
A4,46,A3,62,96,0,PB9,I/O,FT,PB9,TIM4_CH4,I2C1_SDA/CANTX
D4,0,0,0,97,0,PE0,I/O,FT,PE0,TIM4_ETR,
C4,0,0,0,98,0,PE1,I/O,FT,PE1,,
E5,47,D4,63,99,36,VSS_3,S,,VSS_3,,
F5,48,E4,64,100,1,VDD_3,S,,VDD_3,,
