LFBGA144,LFBGA100,WLCSP64,LQFP64,LQFP100,LQFP144,Name,Type,IO,After Reset,Default,Remap
K4,H4,H5,25,34,45,PC5,I/O,,PC5,ADC12_IN15,
L4,J4,H4,26,35,46,PB0,I/O,,PB0,ADC12_IN8/TIM3_CH3/TIM8_CH2N,TIM1_CH2N
M4,K4,F4,27,36,47,PB1,I/O,,PB1,ADC12_IN9/TIM3_CH4/TIM8_CH3N,TIM1_CH3N
J5,G5,H3,28,37,48,PB2,I/O,FT,PB2/BOOT1,,
M5,0,0,0,0,49,PF11,I/O,FT,PF11,FSMC_NIOS16,
L5,0,0,0,0,50,PF12,I/O,FT,PF12,FSMC_A6,
H5,0,0,0,0,51,VSS_6,S,,VSS_6,,
G5,0,0,0,0,52,VDD_6,S,,VDD_6,,
K5,0,0,0,0,53,PF13,I/O,FT,PF13,FSMC_A7,
M6,0,0,0,0,54,PF14,I/O,FT,PF14,FSMC_A8,
L6,0,0,0,0,55,PF15,I/O,FT,PF15,FSMC_A9,
K6,0,0,0,0,56,PG0,I/O,FT,PG0,FSMC_A10,
J6,0,0,0,0,57,PG1,I/O,FT,PG1,FSMC_A11,
M7,H5,0,0,38,58,PE7,I/O,FT,PE7,FSMC_D4,TIM1_ETR
L7,J5,0,0,39,59,PE8,I/O,FT,PE8,FSMC_D5,TIM1_CH1N
K7,K5,0,0,40,60,PE9,I/O,FT,PE9,FSMC_D6,TIM1_CH1
H6,0,0,0,0,61,VSS_7,S,,VSS_7,,
G6,0,0,0,0,62,VDD_7,S,,VDD_7,,
J7,G6,0,0,41,63,PE10,I/O,FT,PE10,FSMC_D7,TIM1_CH2N
H8,H6,0,0,42,64,PE11,I/O,FT,PE11,FSMC_D8,TIM1_CH2
J8,J6,0,0,43,65,PE12,I/O,FT,PE12,FSMC_D9,TIM1_CH3N
K8,K6,0,0,44,66,PE13,I/O,FT,PE13,FSMC_D10,TIM1_CH3
L8,G7,0,0,45,67,PE14,I/O,FT,PE14,FSMC_D11,TIM1_CH4
M8,H7,0,0,46,68,PE15,I/O,FT,PE15,FSMC_D12,TIM1_BKIN
M9,J7,G3,29,47,69,PB10,I/O,FT,PB10,I2C2_SCL/USART3_TX,TIM2_CH3
M10,K7,F3,30,48,70,PB11,I/O,FT,PB11,I2C2_SDA/USART3_RX,TIM2_CH4
H7,E7,H2,31,49,71,VSS_1,S,,VSS_1,,
G7,F7,H1,32,50,72,VDD_1,S,,VDD_1,,
M11,K8,G2,33,51,73,PB12,I/O,FT,PB12,SPI2_NSS/I2S2_WS/I2C2_SMBA/USART3_CK/TIM1_BKIN,
M12,J8,G1,34,52,74,PB13,I/O,FT,PB13,SPI2_SCK/I2S2_CK/USART3_CTS/TIM1_CH1N,
L11,H8,F2,35,53,75,PB14,I/O,FT,PB14,SPI2_MISO/TIM1_CH2N/USART3_RTS,
L12,G8,F1,36,54,76,PB15,I/O,FT,PB15,SPI2_MOSI/I2S2_SD/TIM1_CH3N,
L9,K9,0,0,55,77,PD8,I/O,FT,PD8,FSMC_D13,USART3_TX
K9,J9,0,0,56,78,PD9,I/O,FT,PD9,FSMC_D14,USART3_RX
J9,H9,0,0,57,79,PD10,I/O,FT,PD10,FSMC_D15,USART3_CK
H9,G9,0,0,58,80,PD11,I/O,FT,PD11,FSMC_A16,USART3_CTS
L10,K10,0,0,59,81,PD12,I/O,FT,PD12,FSMC_A17,TIM4_CH1/USART3_RTS
K10,J10,0,0,60,82,PD13,I/O,FT,PD13,FSMC_A18,TIM4_CH2
G8,0,0,0,0,83,VSS_8,S,,VSS_8,,
F8,0,0,0,0,84,VDD_8,S,,VDD_8,,
K11,H10,0,0,61,85,PD14,I/O,FT,PD14,FSMC_D0,TIM4_CH3
K12,G10,0,0,62,86,PD15,I/O,FT,PD15,FSMC_D1,TIM4_CH4
J12,0,0,0,0,87,PG2,I/O,FT,PG2,FSMC_A12,
J11,0,0,0,0,88,PG3,I/O,FT,PG3,FSMC_A13,
J10,0,0,0,0,89,PG4,I/O,FT,PG4,FSMC_A14,
H12,0,0,0,0,90,PG5,I/O,FT,PG5,FSMC_A15,
H11,0,0,0,0,91,PG6,I/O,FT,PG6,FSMC_INT2,
H10,0,0,0,0,92,PG7,I/O,FT,PG7,FSMC_INT3,
G11,0,0,0,0,93,PG8,I/O,FT,PG8,,
G10,0,0,0,0,94,VSS_9,S,,VSS_9,,
F10,0,0,0,0,95,VDD_9,S,,VDD_9,,
G12,F10,E1,37,63,96,PC6,I/O,FT,PC6,I2S2_MCK/TIM8_CH1/SDIO_D6,TIM3_CH1
F12,E10,E2,38,64,97,PC7,I/O,FT,PC7,I2S3_MCK/TIM8_CH2/SDIO_D7,TIM3_CH2
F11,F9,E3,39,65,98,PC8,I/O,FT,PC8,TIM8_CH3/SDIO_D0,TIM3_CH3
E11,E9,D1,40,66,99,PC9,I/O,FT,PC9,TIM8_CH4/SDIO_D1,TIM3_CH4
E12,D9,E4,41,67,100,PA8,I/O,FT,PA8,USART1_CK/TIM1_CH1/MCO,
D12,C9,D2,42,68,101,PA9,I/O,FT,PA9,USART1_TX/TIM1_CH2,
D11,D10,D3,43,69,102,PA10,I/O,FT,PA10,USART1_RX/TIM1_CH3,
C12,C10,C1,44,70,103,PA11,I/O,FT,PA11,USART1_CTS/USBDM/CAN_RX/TIM1_CH4,
B12,B10,C2,45,71,104,PA12,I/O,FT,PA12,USART1_RTS/USBDP/CAN_TX/TIM1_ETR,
A12,A10,D4,46,72,105,PA13,I/O,FT,JTMS-SWDIO,,PA13
C11,F8,0,0,73,106,,,,,,
G9,E6,B1,47,74,107,VSS_2,S,,VSS_2,,
F9,F6,A1,48,75,108,VDD_2,S,,VDD_2,,
A11,A9,B2,49,76,109,PA14,I/O,FT,JTCK-SWCLK,,PA14
A10,A8,C3,50,77,110,PA15,I/O,FT,JTDI,SPI3_NSS/I2S3_WS,TIM2_CH1_ETR/PA15/SPI1_NSS
B11,B9,A2,51,78,111,PC10,I/O,FT,PC10,UART4_TX/SDIO_D2,USART3_TX
B10,B8,B3,52,79,112,PC11,I/O,FT,PC11,UART4_RX/SDIO_D3,USART3_RX
C10,C8,C4,53,80,113,PC12,I/O,FT,PC12,UART5_TX/SDIO_CK,USART3_CK
E10,D8,D8,5,81,114,PD0,I/O,FT,OSC_IN,FSMC_D2,CAN_RX
D10,E8,D7,6,82,115,PD1,I/O,FT,OSC_OUT,FSMC_D3,CAN_TX
E9,B7,A3,54,83,116,PD2,I/O,FT,PD2,TIM3_ETR/UART5_RX/SDIO_CMD,
D9,C7,0,0,84,117,PD3,I/O,FT,PD3,FSMC_CLK,USART2_CTS
C9,D7,0,0,85,118,PD4,I/O,FT,PD4,FSMC_NOE,USART2_RTS
B9,B6,0,0,86,119,PD5,I/O,FT,PD5,FSMC_NWE,USART2_TX
E7,0,0,0,0,120,VSS_10,S,,VSS_10,,
F7,0,0,0,0,121,VDD_10,S,,VDD_10,,
A8,C6,0,0,87,122,PD6,I/O,FT,PD6,FSMC_NWAIT,USART2_RX
A9,D6,0,0,88,123,PD7,I/O,FT,PD7,FSMC_NE1/FSMC_NCE2,USART2_CK
E8,0,0,0,0,124,PG9,I/O,FT,PG9,FSMC_NE2/FSMC_NCE3,
D8,0,0,0,0,125,PG10,I/O,FT,PG10,FSMC_NCE4_1/FSMC_NE3,
C8,0,0,0,0,126,PG11,I/O,FT,PG11,FSMC_NCE4_2,
B8,0,0,0,0,127,PG12,I/O,FT,PG12,FSMC_NE4,
D7,0,0,0,0,128,PG13,I/O,FT,PG13,FSMC_A24,
C7,0,0,0,0,129,PG14,I/O,FT,PG14,FSMC_A25,
E6,0,0,0,0,130,VSS_11,S,,VSS_11,,
F6,0,0,0,0,131,VDD_11,S,,VDD_11,,
B7,0,0,0,0,132,PG15,I/O,FT,PG15,,
A7,A7,A4,55,89,133,PB3,I/O,FT,JTDO,SPI3_SCK/I2S3_CK,PB3/TRACESWO/TIM2_CH2/SPI1_SCK
A6,A6,B4,56,90,134,PB4,I/O,FT,NJTRST,SPI3_MISO,PB4/TIM3_CH1/SPI1_MISO
B6,C5,A5,57,91,135,PB5,I/O,,PB5,I2C1_SMBA/SPI3_MOSI/I2S3_SD,TIM3_CH2/SPI1_MOSI
C6,B5,B5,58,92,136,PB6,I/O,FT,PB6,I2C1_SCL/TIM4_CH1,USART1_TX
D6,A5,C5,59,93,137,PB7,I/O,FT,PB7,I2C1_SDA/FSMC_NADV/TIM4_CH2,USART1_RX
D5,D5,A6,60,94,138,BOOT0,I,,BOOT0,,
C5,B4,D5,61,95,139,PB8,I/O,FT,PB8,TIM4_CH3/SDIO_D4,I2C1_SCL/CAN_RX
B5,A4,B6,62,96,140,PB9,I/O,FT,PB9,TIM4_CH4/SDIO_D5,I2C1_SDA/CAN_TX
A5,D4,0,0,97,141,PE0,I/O,FT,PE0,TIM4_ETR/FSMC_NBL0,
A4,C4,0,0,98,142,PE1,I/O,FT,PE1,FSMC_NBL1,
E5,E5,A7,63,99,143,VSS_3,S,,VSS_3,,
F5,F5,A8,64,100,144,VDD_3,S,,VDD_3,,
