LQFP64,WLCSP72,WLCSP81,LQFP100,UFBGA132,LQFP144,Name,Type,IO,Notes,Alternate,Additional
,,,44,M10,66,PE13,I/O,FT,,TIM1_CH3/SPI1_SCK/DFSDM_CKIN5/TSC_G5_IO4/QUADSPI_BK1_IO1/FMC_D10/EVENTOUT,
,,,45,M11,67,PE14,I/O,FT,,TIM1_CH4/TIM1_BKIN2/TIM1_BKIN2_COMP2/SPI1_MISO/QUADSPI_BK1_IO2/FMC_D11/EVENTOUT,
,,,46,M12,68,PE15,I/O,FT,,TIM1_BKIN/TIM1_BKIN_COMP1/SPI1_MOSI/QUADSPI_BK1_IO3/FMC_D12/EVENTOUT,
29,H3,H3,47,L10,69,PB10,I/O,FT_fl,,TIM2_CH3/I2C2_SCL/SPI2_SCK/DFSDM_DATIN7/USART3_TX/LPUART1_RX/QUADSPI_CLK/LCD_SEG10/COMP1_OUT/SAI1_SCK_A/EVENTOUT,
30,G3,G3,48,L11,70,PB11,I/O,FT_fl,,TIM2_CH4/I2C2_SDA/DFSDM_CKIN7/USART3_RX/LPUART1_TX/QUADSPI_NCS/LCD_SEG11/COMP2_OUT/EVENTOUT,
31,J2,J2,49,F12,71,VSS,S,,,,
32,J1,J1,50,G12,72,VDD,S,,,,
33,H1,H1,51,L12,73,PB12,I/O,FT_l,,TIM1_BKIN/TIM1_BKIN_COMP2/I2C2_SMBA/SPI2_NSS/DFSDM_DATIN1/USART3_CK/LPUART1_RTS_DE/TSC_G1_IO1/LCD_SEG12/SWPMI1_IO/SAI2_FS_A/TIM15_BKIN/EVENTOUT,
34,H2,H2,52,K12,74,PB13,I/O,FT_fl,,TIM1_CH1N/I2C2_SCL/SPI2_SCK/DFSDM_CKIN1/USART3_CTS/LPUART1_CTS/TSC_G1_IO2/LCD_SEG13/SWPMI1_TX/SAI2_SCK_A/TIM15_CH1N/EVENTOUT,
35,G2,G2,53,K11,75,PB14,I/O,FT_fl,,TIM1_CH2N/TIM8_CH2N/I2C2_SDA/SPI2_MISO/DFSDM_DATIN2/USART3_RTS_DE/TSC_G1_IO3/LCD_SEG14/SWPMI1_RX/SAI2_MCLK_A/TIM15_CH1/EVENTOUT,
36,G1,G1,54,K10,76,PB15,I/O,FT_l,,RTC_REFIN/TIM1_CH3N/TIM8_CH3N/SPI2_MOSI/DFSDM_CKIN2/TSC_G1_IO4/LCD_SEG15/SWPMI1_SUSPEND/SAI2_SD_A/TIM15_CH2/EVENTOUT,
,,F5,55,K9,77,PD8,I/O,FT_l,,USART3_TX/LCD_SEG28/FMC_D13/EVENTOUT,
,,F4,56,K8,78,PD9,I/O,FT_l,,USART3_RX/LCD_SEG29/FMC_D14/SAI2_MCLK_A/EVENTOUT,
,,,57,J12,79,PD10,I/O,FT_l,,USART3_CK/TSC_G6_IO1/LCD_SEG30/FMC_D15/SAI2_SCK_A/EVENTOUT,
,,,58,J11,80,PD11,I/O,FT_l,,USART3_CTS/TSC_G6_IO2/LCD_SEG31/FMC_A16/SAI2_SD_A/LPTIM2_ETR/EVENTOUT,
,,,59,J10,81,PD12,I/O,FT_l,,TIM4_CH1/USART3_RTS_DE/TSC_G6_IO3/LCD_SEG32/FMC_A17/SAI2_FS_A/LPTIM2_IN1/EVENTOUT,
,,,60,H12,82,PD13,I/O,FT_l,,TIM4_CH2/TSC_G6_IO4/LCD_SEG33/FMC_A18/LPTIM2_OUT/EVENTOUT,
,,,,,83,VSS,S,,,,
,,,,,84,VDD,S,,,,
,,,61,H11,85,PD14,I/O,FT_l,,TIM4_CH3/LCD_SEG34/FMC_D0/EVENTOUT,
,,,62,H10,86,PD15,I/O,FT_l,,TIM4_CH4/LCD_SEG35/FMC_D1/EVENTOUT,
,,,,G10,87,PG2,I/O,FT_s,,SPI1_SCK/FMC_A12/SAI2_SCK_B/EVENTOUT,
,,,,F9,88,PG3,I/O,FT_s,,SPI1_MISO/FMC_A13/SAI2_FS_B/EVENTOUT,
,,,,F10,89,PG4,I/O,FT_s,,SPI1_MOSI/FMC_A14/SAI2_MCLK_B/EVENTOUT,
,,,,E9,90,PG5,I/O,FT_s,,SPI1_NSS/LPUART1_CTS/FMC_A15/SAI2_SD_B/EVENTOUT,
,,,,G4,91,PG6,I/O,FT_s,,I2C3_SMBA/LPUART1_RTS_DE/EVENTOUT,
,,,,H4,92,PG7,I/O,FT_fs,,I2C3_SCL/LPUART1_TX/FMC_INT3/EVENTOUT,
,,,,J6,93,PG8,I/O,FT_fs,,I2C3_SDA/LPUART1_RX/EVENTOUT,
,,,,,94,VSS,S,,,,
,,,,,95,VDDIO2,S,,,,
37,F3,F3,63,E12,96,PC6,I/O,FT_l,,TIM3_CH1/TIM8_CH1/DFSDM_CKIN3/TSC_G4_IO1/LCD_SEG24/SDMMC1_D6/SAI2_MCLK_A/EVENTOUT,
38,F1,F1,64,E11,97,PC7,I/O,FT_l,,TIM3_CH2/TIM8_CH2/DFSDM_DATIN3/TSC_G4_IO2/LCD_SEG25/SDMMC1_D7/SAI2_MCLK_B/EVENTOUT,
39,F2,F2,65,E10,98,PC8,I/O,FT_l,,TIM3_CH3/TIM8_CH3/TSC_G4_IO3/LCD_SEG26/SDMMC1_D0/EVENTOUT,
40,E1,E1,66,D12,99,PC9,I/O,FT_l,,TIM8_BKIN2/TIM3_CH4/TIM8_CH4/TSC_G4_IO4/OTG_FS_NOE/LCD_SEG27/SDMMC1_D1/SAI2_EXTCLK/TIM8_BKIN2_COMP1/EVENTOUT,
41,E2,E2,67,D11,100,PA8,I/O,FT_l,,MCO/TIM1_CH1/USART1_CK/OTG_FS_SOF/LCD_COM0/LPTIM2_OUT/EVENTOUT,
42,E3,E3,68,D10,101,PA9,I/O,FT_lu,,TIM1_CH2/USART1_TX/LCD_COM1/TIM15_BKIN/EVENTOUT,OTG_FS_VBUS
43,D2,D2,69,C12,102,PA10,I/O,FT_lu,,TIM1_CH3/USART1_RX/OTG_FS_ID/LCD_COM2/TIM17_BKIN/EVENTOUT,
44,D1,D1,70,B12,103,PA11,I/O,FT_u,,TIM1_CH4/TIM1_BKIN2/USART1_CTS/CAN1_RX/OTG_FS_DM/TIM1_BKIN2_COMP1/EVENTOUT,
45,C1,C1,71,A12,104,PA12,I/O,FT_u,,TIM1_ETR/USART1_RTS_DE/CAN1_TX/OTG_FS_DP/EVENTOUT,
46,C2,C2,72,A11,105,PA13(JTMS-SWDIO),I/O,FT,,JTMSSWDIO/IR_OUT/OTG_FS_NOE/EVENTOUT,
47,B1,B1,,,,VSS,S,,,,
48,A1,A1,73,C11,106,VDDUSB,S,,,,
,,,74,F11,107,VSS,S,,,,
,,,75,G11,108,VDD,S,,,,
49,B2,B2,76,A10,109,PA14(JTCK-SWCLK),I/O,FT,,JTCKSWCLK/EVENTOUT,
50,A2,A2,77,A9,110,PA15(JTDI),I/O,FT_l,,JTDI/TIM2_CH1/TIM2_ETR/SPI1_NSS/SPI3_NSS/UART4_RTS_DE/TSC_G3_IO1/LCD_SEG17/SAI2_FS_B/EVENTOUT,
51,D3,D3,78,B11,111,PC10,I/O,FT_l,,SPI3_SCK/USART3_TX/UART4_TX/TSC_G3_IO2/LCD_COM4/LCD_SEG28/LCD_SEG40/SDMMC1_D2/SAI2_SCK_B/EVENTOUT,
52,C3,C3,79,C10,112,PC11,I/O,FT_l,,SPI3_MISO/USART3_RX/UART4_RX/TSC_G3_IO3/LCD_COM5/LCD_SEG29/LCD_SEG41/SDMMC1_D3/SAI2_MCLK_B/EVENTOUT,
53,B3,B3,80,B10,113,PC12,I/O,FT_l,,SPI3_MOSI/USART3_CK/UART5_TX/TSC_G3_IO4/LCD_COM6/LCD_SEG30/LCD_SEG42/SDMMC1_CK/SAI2_SD_B/EVENTOUT,
,,,81,C9,114,PD0,I/O,FT,,SPI2_NSS/DFSDM_DATIN7/CAN1_RX/FMC_D2/EVENTOUT,
,,,82,B9,115,PD1,I/O,FT,,SPI2_SCK/DFSDM_CKIN7/CAN1_TX/FMC_D3/EVENTOUT,
54,A3,A3,83,C8,116,PD2,I/O,FT_l,,TIM3_ETR/USART3_RTS_DE/UART5_RX/TSC_SYNC/LCD_COM7/LCD_SEG31/LCD_SEG43/SDMMC1_CMD/EVENTOUT,
,,,84,B8,117,PD3,I/O,FT,,SPI2_MISO/DFSDM_DATIN0/USART2_CTS/FMC_CLK/EVENTOUT,
,,E5,85,B7,118,PD4,I/O,FT,,SPI2_MOSI/DFSDM_CKIN0/USART2_RTS_DE/FMC_NOE/EVENTOUT,
,,D4,86,A6,119,PD5,I/O,FT,,USART2_TX/FMC_NWE/EVENTOUT,
,,,,,120,VSS,S,,,,
,,E4,,,121,VDD,S,,,,
,,D5,87,B6,122,PD6,I/O,FT,,DFSDM_DATIN1/USART2_RX/FMC_NWAIT/SAI1_SD_A/EVENTOUT,
,,D6,88,A5,123,PD7,I/O,FT,,DFSDM_CKIN1/USART2_CK/FMC_NE1/EVENTOUT,
,A4,A4,,D9,124,PG9,I/O,FT_s,,SPI3_SCK/USART1_TX/FMC_NCE3/FMC_NE2/SAI2_SCK_A/TIM15_CH1N/EVENTOUT,
,B4,B4,,D8,125,PG10,I/O,FT_s,,LPTIM1_IN1/SPI3_MISO/USART1_RX/FMC_NE3/SAI2_FS_A/TIM15_CH1/EVENTOUT,
,C4,C4,,G3,126,PG11,I/O,FT_s,,LPTIM1_IN2/SPI3_MOSI/USART1_CTS/SAI2_MCLK_A/TIM15_CH2/EVENTOUT,
,C5,C5,,D7,127,PG12,I/O,FT_s,,LPTIM1_ETR/SPI3_NSS/USART1_RTS_DE/FMC_NE4/SAI2_SD_A/EVENTOUT,
,B5,B5,,C7,128,PG13,I/O,FT_fs,,I2C1_SDA/USART1_CK/FMC_A24/EVENTOUT,
,A5,A5,,C6,129,PG14,I/O,FT_fs,,I2C1_SCL/FMC_A25/EVENTOUT,
,,,,F7,130,VSS,S,,,,
,B6,B6,,G7,131,VDDIO2,S,,,,
,,,,K1,132,PG15,I/O,FT_s,,LPTIM1_OUT/I2C1_SMBA/EVENTOUT,
55,A6,A6,89,A8,133,PB3(JTDO-TRACESWO),I/O,FT_la,,JTDOTRACESWO/TIM2_CH2/SPI1_SCK/SPI3_SCK/USART1_RTS_DE/LCD_SEG7/SAI1_SCK_B/EVENTOUT,COMP2_INM
56,C6,C6,90,A7,134,PB4(NJTRST),I/O,FT_la,,NJTRST/TIM3_CH1/SPI1_MISO/SPI3_MISO/USART1_CTS/UART5_RTS_DE/TSC_G2_IO1/LCD_SEG8/SAI1_MCLK_B/TIM17_BKIN/EVENTOUT,COMP2_INP
57,C7,C7,91,C5,135,PB5,I/O,FT_la,,LPTIM1_IN1/TIM3_CH2/I2C1_SMBA/SPI1_MOSI/SPI3_MOSI/USART1_CK/UART5_CTS/TSC_G2_IO2/LCD_SEG9/COMP2_OUT/SAI1_SD_B/TIM16_BKIN/EVENTOUT,
58,B7,B7,92,B5,136,PB6,I/O,FT_fa,,LPTIM1_ETR/TIM4_CH1/TIM8_BKIN2/I2C1_SCL/DFSDM_DATIN5/USART1_TX/TSC_G2_IO3/TIM8_BKIN2_COMP2/SAI1_FS_B/TIM16_CH1N/EVENTOUT,COMP2_INP
59,A7,A7,93,B4,137,PB7,I/O,FT_fla,,LPTIM1_IN2/TIM4_CH2/TIM8_BKIN/I2C1_SDA/DFSDM_CKIN5/USART1_RX/UART4_CTS/TSC_G2_IO4/LCD_SEG21/FMC_NL/TIM8_BKIN_COMP1/TIM17_CH1N/EVENTOUT,COMP2_INM/PVD_IN
60,D7,D7,94,A4,138,BOOT0,I,,,,
61,E7,E7,95,A3,139,PB8,I/O,FT_fl,,TIM4_CH3/I2C1_SCL/DFSDM_DATIN6/CAN1_RX/LCD_SEG16/SDMMC1_D4/SAI1_MCLK_A/TIM16_CH1/EVENTOUT,
62,E8,E8,96,B3,140,PB9,I/O,FT_fl,,IR_OUT/TIM4_CH4/I2C1_SDA/SPI2_NSS/DFSDM_CKIN6/CAN1_TX/LCD_COM3/SDMMC1_D5/SAI1_FS_A/TIM17_CH1/EVENTOUT,
,,,97,C3,141,PE0,I/O,FT_l,,TIM4_ETR/LCD_SEG36/FMC_NBL0/TIM16_CH1/EVENTOUT,
,,,98,A2,142,PE1,I/O,FT_l,,LCD_SEG37/FMC_NBL1/TIM17_CH1/EVENTOUT,
63,A8,A8,99,D3,143,VSS,S,,,,
64,A9,A9,100,C4,144,VDD,S,,,,
