UQFN48,WLCSP49,LQFP64,LQFP100,UFBGA100,Name,Type,IO,Alternate,Additional
30,D2,42,68,D10,PA9,I/O,FT,USART1_TX/TIM1_CH2/I2C3_SMBA/EVENTOUT,OTG_FS_VBUS
31,C2,43,69,C12,PA10,I/O,FT,USART1_RX/TIM1_CH3/OTG_FS_ID/EVENTOUT,
32,C1,44,70,B12,PA11,I/O,FT,USART1_CTS/USART6_TX/TIM1_CH4/OTG_FS_DM/EVENTOUT,
33,C3,45,71,A12,PA12,I/O,FT,USART1_RTS/USART6_RX/TIM1_ETR/OTG_FS_DP/EVENTOUT,
34,B3,46,72,A11,PA13(JTMS-SWDIO),I/O,FT,JTMS-SWDIO/EVENTOUT,
0,0,0,73,C11,VCAP_2,S,,,
35,B1,47,74,F11,VSS,S,,,
36,,48,75,G11,VDD,S,,,
0,B2,0,0,0,VDD,S,,,
37,A1,49,76,A10,PA14(JTCK-SWCLK),I/O,FT,JTCK-SWCLK/EVENTOUT,
38,A2,50,77,A9,PA15(JTDI),I/O,FT,JTDI/SPI3_NSS/I2S3_WS/TIM2_CH1/TIM2_ETR/SPI1_NSS/EVENTOUT,
0,0,51,78,B11,PC10,I/O,FT,SPI3_SCK/I2S3_CK/SDIO_D2/EVENTOUT,
0,0,52,79,C10,PC11,I/O,FT,SPI3_MISO/SDIO_D3/I2S3ext_SD/EVENTOUT,
0,0,53,80,B10,PC12,I/O,FT,SDIO_CK/SPI3_MOSI/I2S3_SD/EVENTOUT,
0,0,0,81,C9,PD0,I/O,FT,EVENTOUT,
0,0,0,82,B9,PD1,I/O,FT,EVENTOUT,
0,0,54,83,C8,PD2,I/O,FT,TIM3_ETR/SDIO_CMD/EVENTOUT,
0,0,0,84,B8,PD3,I/O,FT,SPI2_SCK/I2S2_CK/USART2_CTS/EVENTOUT,
0,0,0,85,B7,PD4,I/O,FT,USART2_RTS/EVENTOUT,
0,0,0,86,A6,PD5,I/O,FT,USART2_TX/EVENTOUT,
0,0,0,87,B6,PD6,I/O,FT,USART2_RX/EVENTOUT,
0,0,0,88,A5,PD7,I/O,FT,USART2_CK/EVENTOUT,
39,A3,55,89,A8,PB3(JTDO-TRACESWO),I/O,FT,JTDO-SWO/SPI3_SCK/I2S3_CK/I2C2_SDA/TIM2_CH2/SPI1_SCK/EVENTOUT,
40,A4,56,90,A7,PB4(NJTRST),I/O,FT,NJTRST/SPI3_MISO/TIM3_CH1/SPI1_MISO/I2C3_SDA/I2S3ext_SD/EVENTOUT,
41,B4,57,91,C5,PB5,I/O,FT,I2C1_SMBA/TIM3_CH2/SPI1_MOSI/SPI3_MOSI/I2S3_SD/EVENTOUT,
42,C4,58,92,B5,PB6,I/O,FT,I2C1_SCL/TIM4_CH1/USART1_TX/EVENTOUT,
43,D4,59,93,B4,PB7,I/O,FT,I2C1_SDA/USART1_RX/TIM4_CH2/EVENTOUT,
44,A5,60,94,A4,BOOT0,I,B,,VPP
45,B5,61,95,A3,PB8,I/O,FT,TIM4_CH3/SDIO_D4/TIM10_CH1/I2C1_SCL/EVENTOUT,
46,C5,62,96,B3,PB9,I/O,FT,SPI2_NSS/I2S2_WS/TIM4_CH4/TIM11_CH1/SDIO_D5/I2C1_SDA/EVENTOUT,
0,0,0,97,C3,PE0,I/O,FT,TIM4_ETR/EVENTOUT,
0,0,0,98,A2,PE1,I/O,FT,EVENTOUT,
47,A6,63,99,H3,VSS,S,,,
0,B6,0,0,0,PDR_ON,I,FT,,
48,A7,64,100,0,VDD,S,,,
