LQFP100,LQFP64,LQFP48,Name,Type,IO,Alternate,Additional
48,30,22,PB11,I/O,TTa,USART3_RX/TIM2_CH4/TSC_G6_IO1,COMP6_INP/OPAMP4_VINP
49,31,23,VSS_2,S,,Digital ground,
50,32,24,VDD_2,S,,Digital power supply,
51,33,25,PB12,I/O,TTa,SPI2_NSS/I2S2_WS/I2C2_SMBA/USART3_CK/TIM1_BKIN/TSC_G6_IO2,ADC4_IN3/COMP3_INM/AOP4_OUT
52,34,26,PB13,I/O,TTa,SPI2_SCK/I2S2_CK/USART3_CTS/TIM1_CH1N/TSC_G6_IO3,ADC3_IN5/COMP5_INP/OPAMP4_VINP/OPAMP3_VINP
53,35,27,PB14,I/O,TTa,SPI2_MISO/I2S2ext_SD/USART3_RTS/TIM1_CH2N/TIM15_CH1/TSC_G6_IO4,COMP3_INP/ADC4_IN4/OPAMP2_VINP
54,36,28,PB15,I/O,TTa,SPI2_MOSI/I2S2_SD/TIM1_CH3N/TIM15_CH1N/TIM15_CH2,ADC4_IN5/RTC_REFIN/COMP6_INM
55,,,PD8,I/O,TTa,USART3_TX,ADC4_IN12/OPAMP4_VINM
56,,,PD9,I/O,TTa,USART3_RX,ADC4_IN13
57,,,PD10,I/O,TTa,USART3_CK,ADC34_IN7/COMP6_INM
58,,,PD11,I/O,TTa,USART3_CTS,ADC34_IN8/COMP6_INP/OPAMP4_VINP
59,,,PD12,I/O,TTa,USART3_RTS/TIM4_CH1/TSC_G8_IO1,ADC34_IN9/COMP5_INP
60,,,PD13,I/O,TTa,TIM4_CH2/TSC_G8_IO2,ADC34_IN10/COMP5_INM
61,,,PD14,I/O,TTa,TIM4_CH3/TSC_G8_IO3,COMP3_INP/ADC34_IN11/OPAMP2_VINP
62,,,PD15,I/O,TTa,SPI2_NSS/TIM4_CH4/TSC_G8_IO4,COMP3_INM
63,37,,PC6,I/O,FT,I2S2_MCK/COMP6_OUT/TIM8_CH1/TIM3_CH1,
64,38,,PC7,I/O,FT,I2S3_MCK/TIM8_CH2/TIM3_CH2/COMP5_OUT,
65,39,,PC8,I/O,FT,TIM8_CH3/TIM3_CH3/COMP3_OUT,
66,40,,PC9,I/O,FT,TIM8_CH4/TIM8_BKIN2/TIM3_CH4/I2S_CKIN,
67,41,29,PA8,I/O,FT,I2C2_SMBA/I2S2_MCK/USART1_CK/TIM1_CH1/TIM4_ETR/MCO/COMP3_OUT,
68,42,30,PA9,I/O,FTf,I2C2_SCL/I2S3_MCK/USART1_TX/TIM1_CH2/TIM2_CH3/TIM15_BKIN/TSC_G4_IO1/COMP5_OUT,
69,43,31,PA10,I/O,FTf,I2C2_SDA/USART1_RX/TIM1_CH3/TIM2_CH4/TIM8_BKIN/TIM17_BKIN/TSC_G4_IO2/COMP6_OUT,
70,44,32,PA11,I/O,FT,USART1_CTS/USBDM/CAN_RX/TIM1_CH1N/TIM1_CH4/TIM1_BKIN2/TIM4_CH1/COMP1_OUT,
71,45,33,PA12,I/O,FT,USART1_RTS/USBDP/CAN_TX/TIM1_CH2N/TIM1_ETR/TIM4_CH2/TIM16_CH1/COMP2_OUT,
72,46,34,PA13,I/O,FT,USART3_CTS/TIM4_CH3/TIM16_CH1N/TSC_G4_IO3/IR_OUT/SWDAT-JTMS,
73,,,PF6,I/O,FTf,I2C2_SCL/USART3_RTS/TIM4_CH4,
74,47,35,VSS_3,S,,Ground,
75,48,36,VDD_3,S,,Digital power supply,
76,49,37,PA14,I/O,FTf,I2C1_SDA/USART2_TX/TIM8_CH2/TIM1_BKIN/TSC_G4_IO4/SWCLK-JTCK,
77,50,38,PA15,I/O,FTf,I2C1_SCL/SPI1_NSS/SPI3_NSS/I2S3_WS/JTDI/USART2_RX/TIM1_BKIN/TIM2_CH1_ETR/TIM8_CH1,
78,51,,PC10,I/O,FT,SPI3_SCK/I2S3_CK/USART3_TX/UART4_TX/TIM8_CH1N,
79,52,,PC11,I/O,FT,SPI3_MISO/I2S3ext_SD/USART3_RX/UART4_RX/TIM8_CH2N,
80,53,,PC12,I/O,FT,SPI3_MOSI/I2S3_SD/USART3_CK/UART5_TX/TIM8_CH3N,
81,,,PD0,I/O,FT,CAN_RX,
82,,,PD1,I/O,FT,CAN_TX/TIM8_CH4/TIM8_BKIN2,
83,54,,PD2,I/O,FT,UART5_RX/TIM3_ETR/TIM8_BKIN,
84,,,PD3,I/O,FT,USART2_CTS/TIM2_CH1_ETR,
85,,,PD4,I/O,FT,USART2_RTS/TIM2_CH2,
86,,,PD5,I/O,FT,USART2_TX,
87,,,PD6,I/O,FT,USART2_RX/TIM2_CH4,
88,,,PD7,I/O,FT,USART2_CK/TIM2_CH3,
89,55,39,PB3,I/O,FT,SPI3_SCK/I2S3_CK/SPI1_SCK/USART2_TX/TIM2_CH2/TIM3_ETR/TIM4_ETR/TIM8_CH1N/TSC_G5_IO1/JTDOTRACESWO,
90,56,40,PB4,I/O,FT,SPI3_MISO/I2S3ext_SD/SPI1_MISO/USART2_RX/TIM3_CH1/TIM16_CH1/TIM17_BKIN/TIM8_CH2N/TSC_G5_IO2/NJTRST,
91,57,41,PB5,I/O,FT,SPI3_MOSI/SPI1_MOSI/I2S3_SD/I2C1_SMBA/USART2_CK/TIM16_BKIN/TIM3_CH2/TIM8_CH3N/TIM17_CH1,
92,58,42,PB6,I/O,FTf,I2C1_SCL/USART1_TX/TIM16_CH1N/TIM4_CH1/TIM8_CH1/TSC_G5_IO3/TIM8_ETR/TIM8_BKIN2,
93,59,43,PB7,I/O,FTf,I2C1_SDA/USART1_RX/TIM3_CH4/TIM4_CH2/TIM17_CH1N/TIM8_BKIN/TSC_G5_IO4,
94,60,44,BOOT0,I,B,Boot memory selection,
95,61,45,PB8,I/O,FTf,I2C1_SCL/CAN_RX/TIM16_CH1/TIM4_CH3/TIM8_CH2/TIM1_BKIN/TSC_SYNC/COMP1_OUT,
96,62,46,PB9,I/O,FTf,I2C1_SDA/CAN_TX/TIM17_CH1/TIM4_CH4/TIM8_CH3/IR_OUT/COMP2_OUT,
97,,,PE0,I/O,FT,USART1_TX/TIM4_ETR/TIM16_CH1,
98,,,PE1,I/O,FT,USART1_RX/TIM17_CH1,
99,63,47,VSS_1,S,,Ground,
100,64,48,VDD_1,S,,Digital power supply,
