LQFP64,WLCSP90,LQFP100,LQFP144,UFBGA176,LQFP176,Name,Type,IO,Alternate,Additional
5,F10,12,23,G1,29,PH0-OSC_IN(PH0),I/O,FT,EVENTOUT,OSC_IN(4)
6,F9,13,24,H1,30,PH1-OSC_OUT(PH1),I/O,FT,EVENTOUT,OSC_OUT(4)
7,G10,14,25,J1,31,NRST,I/O,RST,,
8,E10,15,26,M2,32,PC0,I/O,FT,OTG_HS_ULPI_STP/EVENTOUT,ADC123_IN10
9,0,16,27,M3,33,PC1,I/O,FT,ETH_MDC/EVENTOUT,ADC123_IN11
10,D10,17,28,M4,34,PC2,I/O,FT,SPI2_MISO/OTG_HS_ULPI_DIR/TH_MII_TXD2/I2S2ext_SD/EVENTOUT,ADC123_IN12
11,E9,18,29,M5,35,PC3,I/O,FT,SPI2_MOSI/I2S2_SD/OTG_HS_ULPI_NXT/ETH_MII_TX_CLK/EVENTOUT,ADC123_IN13
0,0,19,30,G3,36,VDD,S,,,
12,H10,20,31,M1,37,VSSA,S,,,
0,0,0,0,N1,0,VREFΓÇô,S,,,
0,0,21,32,P1,38,VREF+,S,,,
13,G9,22,33,R1,39,VDDA,S,,,
14,C10,23,34,N3,40,PA0-WKUP(PA0),I/O,FT,USART2_CTS/UART4_TX/ETH_MII_CRS/TIM2_CH1_ETR/TIM5_CH1/TIM8_ETR/EVENTOUT,ADC123_IN0/WKUP(4)
15,F8,24,35,N2,41,PA1,I/O,FT,USART2_RTS/UART4_RX/ETH_RMII_REF_CLK/ETH_MII_RX_CLK/TIM5_CH2/TIM2_CH2/EVENTOUT,ADC123_IN1
16,J10,25,36,P2,42,PA2,I/O,FT,USART2_TX/TIM5_CH3/TIM9_CH1/TIM2_CH3/ETH_MDIO/EVENTOUT,ADC123_IN2
0,0,0,0,F4,43,PH2,I/O,FT,ETH_MII_CRS/EVENTOUT,
0,0,0,0,G4,44,PH3,I/O,FT,ETH_MII_COL/EVENTOUT,
0,0,0,0,H4,45,PH4,I/O,FT,I2C2_SCL/OTG_HS_ULPI_NXT/EVENTOUT,
0,0,0,0,J4,46,PH5,I/O,FT,I2C2_SDA/EVENTOUT,
17,H9,26,37,R2,47,PA3,I/O,FT,USART2_RX/TIM5_CH4/TIM9_CH2/TIM2_CH4/OTG_HS_ULPI_D0/ETH_MII_COL/EVENTOUT,ADC123_IN3
18,E5,27,38,0,48,VSS,S,,,
,D9,,,L4,0,BYPASS_REG,I,FT,,
19,E4,28,39,K4,49,VDD,S,,,
20,J9,29,40,N4,50,PA4,I/O,TC,SPI1_NSS/SPI3_NSS/USART2_CK/DCMI_HSYNC/OTG_HS_SOF/I2S3_WS/EVENTOUT,ADC12_IN4/DAC1_OUT
21,G8,30,41,P4,51,PA5,I/O,TC,SPI1_SCK/OTG_HS_ULPI_CK/TIM2_CH1_ETR/TIM8_CHIN/EVENTOUT,ADC12_IN5/DAC2_OUT
22,H8,31,42,P3,52,PA6,I/O,FT,SPI1_MISO/TIM8_BKIN/TIM13_CH1/DCMI_PIXCLK/TIM3_CH1/TIM1_BKIN/EVENTOUT,ADC12_IN6
23,J8,32,43,R3,53,PA7,I/O,FT,SPI1_MOSI/TIM8_CH1N/TIM14_CH1/TIM3_CH2/ETH_MII_RX_DV/TIM1_CH1N/RMII_CRS_DV/EVENTOUT,ADC12_IN7
24,0,33,44,N5,54,PC4,I/O,FT,ETH_RMII_RX_D0/ETH_MII_RX_D0/EVENTOUT,ADC12_IN14
25,0,34,45,P5,55,PC5,I/O,FT,ETH_RMII_RX_D1/ETH_MII_RX_D1/EVENTOUT,ADC12_IN15
26,G7,35,46,R5,56,PB0,I/O,FT,TIM3_CH3/TIM8_CH2N/OTG_HS_ULPI_D1/ETH_MII_RXD2/TIM1_CH2N/EVENTOUT,ADC12_IN8
27,H7,36,47,R4,57,PB1,I/O,FT,TIM3_CH4/TIM8_CH3N/OTG_HS_ULPI_D2/ETH_MII_RXD3/TIM1_CH3N/EVENTOUT,ADC12_IN9
28,J7,37,48,M6,58,PB2-BOOT1(PB2),I/O,FT,EVENTOUT,
0,0,0,49,R6,59,PF11,I/O,FT,DCMI_12/EVENTOUT,
0,0,0,50,P6,60,PF12,I/O,FT,FSMC_A6/EVENTOUT,
0,0,0,51,M8,61,VSS,S,,,
0,0,0,52,N8,62,VDD,S,,,
0,0,0,53,N6,63,PF13,I/O,FT,FSMC_A7/EVENTOUT,
0,0,0,54,R7,64,PF14,I/O,FT,FSMC_A8/EVENTOUT,
0,0,0,55,P7,65,PF15,I/O,FT,FSMC_A9/EVENTOUT,
0,0,0,56,N7,66,PG0,I/O,FT,FSMC_A10/EVENTOUT,
0,0,0,57,M7,67,PG1,I/O,FT,FSMC_A11/EVENTOUT,
0,G6,38,58,R8,68,PE7,I/O,FT,FSMC_D4/TIM1_ETR/EVENTOUT,
0,H6,39,59,P8,69,PE8,I/O,FT,FSMC_D5/TIM1_CH1N/EVENTOUT,
0,J6,40,60,P9,70,PE9,I/O,FT,FSMC_D6/TIM1_CH1/EVENTOUT,
0,0,0,61,M9,71,VSS,S,,,
0,0,0,62,N9,72,VDD,S,,,
0,F6,41,63,R9,73,PE10,I/O,FT,FSMC_D7/TIM1_CH2N/EVENTOUT,
0,J5,42,64,P10,74,PE11,I/O,FT,FSMC_D8/TIM1_CH2/EVENTOUT,
0,H5,43,65,R10,75,PE12,I/O,FT,FSMC_D9/TIM1_CH3N/EVENTOUT,
0,G5,44,66,N11,76,PE13,I/O,FT,FSMC_D10/TIM1_CH3/EVENTOUT,
0,F5,45,67,P11,77,PE14,I/O,FT,FSMC_D11/TIM1_CH4/EVENTOUT,
0,G4,46,68,R11,78,PE15,I/O,FT,FSMC_D12/TIM1_BKIN/EVENTOUT,
29,H4,47,69,R12,79,PB10,I/O,FT,SPI2_SCK/I2S2_CK/I2C2_SCL/USART3_TX/OTG_HS_ULPI_D3/ETH_MII_RX_ER/TIM2_CH3/EVENTOUT,
30,J4,48,70,R13,80,PB11,I/O,FT,I2C2_SDA/USART3_RX/OTG_HS_ULPI_D4/ETH_RMII_TX_EN/ETH_MII_TX_EN/TIM2_CH4/EVENTOUT,
31,F4,49,71,M10,81,VCAP_1,S,,,
32,0,50,72,N10,82,VDD,S,,,
0,0,0,0,M11,83,PH6,I/O,FT,I2C2_SMBA/TIM12_CH1/ETH_MII_RXD2/EVENTOUT,
0,0,0,0,N12,84,PH7,I/O,FT,I2C3_SCL/ETH_MII_RXD3/EVENTOUT,
0,0,0,0,M12,85,PH8,I/O,FT,I2C3_SDA/DCMI_HSYNC/EVENTOUT,
0,0,0,0,M13,86,PH9,I/O,FT,I2C3_SMBA/TIM12_CH2/DCMI_D0/EVENTOUT,
0,0,0,0,L13,87,PH10,I/O,FT,TIM5_CH1/DCMI_D1/EVENTOUT,
0,0,0,0,L12,88,PH11,I/O,FT,TIM5_CH2/DCMI_D2/EVENTOUT,
0,0,0,0,K12,89,PH12,I/O,FT,TIM5_CH3/DCMI_D3/EVENTOUT,
0,0,0,0,H12,90,VSS,S,,,
0,0,0,0,J12,91,VDD,S,,,
33,J3,51,73,P12,92,PB12,I/O,FT,SPI2_NSS/I2S2_WS/I2C2_SMBA/USART3_CK/TIM1_BKIN/CAN2_RX/OTG_HS_ULPI_D5/ETH_RMII_TXD0/ETH_MII_TXD0/OTG_HS_ID/EVENTOUT,
34,J1,52,74,P13,93,PB13,I/O,FT,SPI2_SCK/I2S2_CK/USART3_CTS/TIM1_CH1N/CAN2_TX/OTG_HS_ULPI_D6/ETH_RMII_TXD1/ETH_MII_TXD1/EVENTOUT,OTG_HS_VBUS
35,J2,53,75,R14,94,PB14,I/O,FT,SPI2_MISO/TIM1_CH2N/TIM12_CH1/OTG_HS_DM/USART3_RTS/TIM8_CH2N/I2S2ext_SD/EVENTOUT,
36,H1,54,76,R15,95,PB15,I/O,FT,SPI2_MOSI/I2S2_SD/TIM1_CH3N/TIM8_CH3N/TIM12_CH2/OTG_HS_DP/EVENTOUT,
0,H2,55,77,P15,96,PD8,I/O,FT,FSMC_D13/USART3_TX/EVENTOUT,
0,H3,56,78,P14,97,PD9,I/O,FT,FSMC_D14/USART3_RX/EVENTOUT,
0,G3,57,79,N15,98,PD10,I/O,FT,FSMC_D15/USART3_CK/EVENTOUT,
0,G1,58,80,N14,99,PD11,I/O,FT,FSMC_CLE/FSMC_A16/USART3_CTS/EVENTOUT,
0,G2,59,81,N13,100,PD12,I/O,FT,FSMC_ALE/FSMC_A17/TIM4_CH1/USART3_RTS/EVENTOUT,
0,0,60,82,M15,101,PD13,I/O,FT,FSMC_A18/TIM4_CH2/EVENTOUT,
0,0,0,83,0,102,VSS,S,,,
0,0,0,84,J13,103,VDD,S,,,
0,F2,61,85,M14,104,PD14,I/O,FT,FSMC_D0/TIM4_CH3/EVENTOUT/EVENTOUT,
0,F1,62,86,L14,105,PD15,I/O,FT,FSMC_D1/TIM4_CH4/EVENTOUT,
0,0,0,87,L15,106,PG2,I/O,FT,FSMC_A12/EVENTOUT,
0,0,0,88,K15,107,PG3,I/O,FT,FSMC_A13/EVENTOUT,
0,0,0,89,K14,108,PG4,I/O,FT,FSMC_A14/EVENTOUT,
0,0,0,90,K13,109,PG5,I/O,FT,FSMC_A15/EVENTOUT,
0,0,0,91,J15,110,PG6,I/O,FT,FSMC_INT2/EVENTOUT,
0,0,0,92,J14,111,PG7,I/O,FT,FSMC_INT3/USART6_CK/EVENTOUT,
0,0,0,93,H14,112,PG8,I/O,FT,USART6_RTS/ETH_PPS_OUT/EVENTOUT,
0,0,0,94,G12,113,VSS,S,,,
0,0,0,95,H13,114,VDD,S,,,
37,F3,63,96,H15,115,PC6,I/O,FT,I2S2_MCK/TIM8_CH1/SDIO_D6/USART6_TX/DCMI_D0/TIM3_CH1/EVENTOUT,
38,E1,64,97,G15,116,PC7,I/O,FT,I2S3_MCK/TIM8_CH2/SDIO_D7/USART6_RX/DCMI_D1/TIM3_CH2/EVENTOUT,
39,E2,65,98,G14,117,PC8,I/O,FT,TIM8_CH3/SDIO_D0/TIM3_CH3/USART6_CK/DCMI_D2/EVENTOUT,
40,E3,66,99,F14,118,PC9,I/O,FT,I2S_CKIN/MCO2/TIM8_CH4/SDIO_D1//I2C3_SDA/DCMI_D3/TIM3_CH4/EVENTOUT,
41,D1,67,100,F15,119,PA8,I/O,FT,MCO1/USART1_CK/TIM1_CH1/I2C3_SCL/OTG_FS_SOF/EVENTOUT,
42,D2,68,101,E15,120,PA9,I/O,FT,USART1_TX/TIM1_CH2/I2C3_SMBA/DCMI_D0/EVENTOUT,OTG_FS_VBUS
43,D3,69,102,D15,121,PA10,I/O,FT,USART1_RX/TIM1_CH3/OTG_FS_ID/DCMI_D1/EVENTOUT,
44,C1,70,103,C15,122,PA11,I/O,FT,USART1_CTS/CAN1_RX/TIM1_CH4/OTG_FS_DM/EVENTOUT,
45,C2,71,104,B15,123,PA12,I/O,FT,USART1_RTS/CAN1_TX/TIM1_ETR/OTG_FS_DP/EVENTOUT,
46,F8,72,105,A15,124,PA13(JTMS-SWDIO),I/O,FT,JTMS-SWDIO/EVENTOUT,
47,B1,73,106,F13,125,VCAP_2,S,,,
0,E7,74,107,F12,126,VSS,S,,,
48,E6,75,108,G13,127,VDD,S,,,
0,0,0,0,E12,128,PH13,I/O,FT,TIM8_CH1N/CAN1_TX/EVENTOUT,
0,0,0,0,E13,129,PH14,I/O,FT,TIM8_CH2N/DCMI_D4/EVENTOUT,
0,0,0,0,D13,130,PH15,I/O,FT,TIM8_CH3N/DCMI_D11/EVENTOUT,
0,C3,0,0,E14,131,PI0,I/O,FT,TIM5_CH4/SPI2_NSS/I2S2_WS/DCMI_D13/EVENTOUT,
0,B2,0,0,D14,132,PI1,I/O,FT,SPI2_SCK/I2S2_CK/DCMI_D8/EVENTOUT,
0,0,0,0,C14,133,PI2,I/O,FT,TIM8_CH4/SPI2_MISO/DCMI_D9/I2S2ext_SD/EVENTOUT,
0,0,0,0,C13,134,PI3,I/O,FT,TIM8_ETR/SPI2_MOSI/I2S2_SD/DCMI_D10/EVENTOUT,
0,0,0,0,D9,135,VSS,S,,,
0,0,0,0,C9,136,VDD,S,,,
49,A2,76,109,A14,137,PA14(JTCK-SWCLK),I/O,FT,JTCK-SWCLK/EVENTOUT,
50,B3,77,110,A13,138,PA15(JTDI),I/O,FT,JTDI/SPI3_NSS/I2S3_WS/TIM2_CH1_ETR/SPI1_NSS/EVENTOUT,
51,D5,78,111,B14,139,PC10,I/O,FT,SPI3_SCK/I2S3_CK/UART4_TX/SDIO_D2/DCMI_D8/USART3_TX/EVENTOUT,
52,C4,79,112,B13,140,PC11,I/O,FT,UART4_RX/SPI3_MISO/SDIO_D3/DCMI_D4/USART3_RX/I2S3ext_SD/EVENTOUT,
53,A3,80,113,A12,141,PC12,I/O,FT,UART5_TX/SDIO_CK/DCMI_D9/SPI3_MOSI/I2S3_SD/USART3_CK/EVENTOUT,
0,D6,81,114,B12,142,PD0,I/O,FT,FSMC_D2/CAN1_RX/EVENTOUT,
0,C5,82,115,C12,143,PD1,I/O,FT,FSMC_D3/CAN1_TX/EVENTOUT,
54,B4,83,116,D12,144,PD2,I/O,FT,TIM3_ETR/UART5_RX/SDIO_CMD/DCMI_D11/EVENTOUT,
0,0,84,117,D11,145,PD3,I/O,FT,FSMC_CLK/USART2_CTS/EVENTOUT,
0,A4,85,118,D10,146,PD4,I/O,FT,FSMC_NOE/USART2_RTS/EVENTOUT,
0,C6,86,119,C11,147,PD5,I/O,FT,FSMC_NWE/USART2_TX/EVENTOUT,
0,0,0,120,D8,148,VSS,S,,,
0,0,0,121,C8,149,VDD,S,,,
0,B5,87,122,B11,150,PD6,I/O,FT,FSMC_NWAIT/USART2_RX/EVENTOUT,
0,A5,88,123,A11,151,PD7,I/O,FT,USART2_CK/FSMC_NE1/FSMC_NCE2/EVENTOUT,
0,0,0,124,C10,152,PG9,I/O,FT,USART6_RX/FSMC_NE2/FSMC_NCE3/EVENTOUT,
0,0,0,125,B10,153,PG10,I/O,FT,FSMC_NCE4_1/FSMC_NE3/EVENTOUT,
0,0,0,126,B9,154,PG11,I/O,FT,FSMC_NCE4_2/ETH_MII_TX_EN/ETH,_RMII_TX_EN/EVENTOUT
0,0,0,127,B8,155,PG12,I/O,FT,FSMC_NE4/USART6_RTS/EVENTOUT,
0,0,0,128,A8,156,PG13,I/O,FT,FSMC_A24/USART6_CTS/ETH_MII_TXD0/ETH_RMII_TXD0/EVENTOUT,
0,0,0,129,A7,157,PG14,I/O,FT,FSMC_A25/USART6_TX/ETH_MII_TXD1/ETH_RMII_TXD1/EVENTOUT,
0,E8,0,130,D7,158,VSS,S,,,
0,F7,0,131,C7,159,VDD,S,,,
0,0,0,132,B7,160,PG15,I/O,FT,USART6_CTS/DCMI_D13/EVENTOUT,
55,B6,89,133,A10,161,PB3(JTDO/TRACESWO),I/O,FT,JTDO/TRACESWO/SPI3_SCK/I2S3_CK/TIM2_CH2/SPI1_SCK/EVENTOUT,
56,A6,90,134,A9,162,PB4(NJTRST),I/O,FT,NJTRST/SPI3_MISO/TIM3_CH1/SPI1_MISO/I2S3ext_SD/EVENTOUT,
57,D7,91,135,A6,163,PB5,I/O,FT,I2C1_SMBA/CAN2_RX/OTG_HS_ULPI_D7/ETH_PPS_OUT/TIM3_CH2/SPI1_MOSI/SPI3_MOSI/DCMI_D10/I2S3_SD/EVENTOUT,
58,C7,92,136,B6,164,PB6,I/O,FT,I2C1_SCL/TIM4_CH1/CAN2_TX/DCMI_D5/USART1_TX/EVENTOUT,
59,B7,93,137,B5,165,PB7,I/O,FT,I2C1_SDA/FSMC_NL/DCMI_VSYNC/USART1_RX/TIM4_CH2/EVENTOUT,
60,A7,94,138,D6,166,BOOT0,I,B,,VPP
61,D8,95,139,A5,167,PB8,I/O,FT,TIM4_CH3/SDIO_D4/TIM10_CH1/DCMI_D6/ETH_MII_TXD3/I2C1_SCL/CAN1_RX/EVENTOUT,
62,C8,96,140,B4,168,PB9,I/O,FT,SPI2_NSS/I2S2_WS/TIM4_CH4/TIM11_CH1/SDIO_D5/DCMI_D7/I2C1_SDA/CAN1_TX/EVENTOUT,
0,0,97,141,A4,169,PE0,I/O,FT,TIM4_ETR/FSMC_NBL0/DCMI_D2/EVENTOUT,
0,0,98,142,A3,170,PE1,I/O,FT,FSMC_NBL1/DCMI_D3/EVENTOUT,
63,0,99,0,D5,0,VSS,S,,,
0,A8,0,143,C6,171,PDR_ON,I,FT,,
64,A1,100,144,C5,172,VDD,S,,,
0,0,0,0,D4,173,PI4,I/O,FT,TIM8_BKIN/DCMI_D5/EVENTOUT,
0,0,0,0,C4,174,PI5,I/O,FT,TIM8_CH1/DCMI_VSYNC/EVENTOUT,
0,0,0,0,C3,175,PI6,I/O,FT,TIM8_CH2/DCMI_D6/EVENTOUT,
0,0,0,0,C2,176,PI7,I/O,FT,TIM8_CH3/DCMI_D7/EVENTOUT,
