AF n° ,Port & Pin ,AF0 ,AF1 ,AF2 ,AF3 ,AF4 ,AF5 ,AF6 ,AF7 ,AF8 ,AF9 ,AF10 ,AF11 ,AF12 ,AF13,AF14 ,AF15 ,Name ,,,,,,,,,,,,,,,,
9,PA12 ,,TIM16_CH1 ,,,,,TIM1_CH2N ,USART1_RTS ,COMP2_OUT ,CAN_TX ,TIM4_CH2 ,TIM1_ETR ,,,USBDP ,EVENT OUT
7,PA13 ,SWDAT-JTMS ,TIM16_CH1N ,,TSC_G4_IO3 ,,IR_OUT ,,USART3_CTS ,,,TIM4_CH3 ,,,,,EVENT OUT 
7,PA14 ,SWCLK-JTCK ,,,TSC_G4_IO4 ,I2C1_SDA ,TIM8_CH2 ,TIM1_BKIN ,USART2_TX ,,,,,,,,EVENT OUT 
9,PA15 ,JTDI ,TIM2_CH1_ETR ,TIM8_CH1 ,,I2C1_SCL ,SPI1_NSS ,SPI3_NSS/ I2S3_WS ,USART2_RX ,,TIM1_BKIN ,,,,,,EVENT OUT ,Port ,,,,,,,,,,,,,,,,
AF n° ,& Pin ,AF0 ,AF1 ,AF2 ,AF3 ,AF4 ,AF5 ,AF6 ,AF7 ,AF8 ,AF9 ,AF10 ,AF12 ,,,,AF15 ,Name ,,,,,,,,,,,,,,,,
5,PB0 ,,,TIM3_CH3 ,TSC_G3_IO2 ,TIM8_CH2N ,,TIM1_CH2N ,,,,,,,,,EVENT OUT 
6,PB1 ,,,TIM3_CH4 ,TSC_G3_IO3 ,TIM8_CH3N ,,TIM1_CH3N ,,COMP4_OUT ,,,,,,,EVENT OUT 
2,PB2 ,,,,TSC_G3_IO4 ,,,,,,,,,,,,EVENT OUT 
10,PB3 ,JTDO-TRACE SWO ,TIM2_CH2 ,TIM4_ETR ,TSC_G5_IO1 ,TIM8_CH1N ,SPI1_SCK ,SPI3_SCK /I2S3_CK ,USART2_TX ,,,TIM3_ETR ,,,,,EVENT OUT 
10,PB4 ,NJTRST ,TIM16_CH1 ,TIM3_CH1 ,TSC_G5_IO2 ,TIM8_CH2N ,SPI1_MISO ,SPI3_MISO/ I2S3ext_SD ,USART2_RX ,,,TIM17_BKIN ,,,,,EVENT OUT 
9,PB5 ,,TIM16_BKIN ,TIM3_CH2 ,TIM8_CH3N ,I2C1_SMBA ,SPI1_MOSI ,SPI3_MOSI/ I2S3_SD ,USART2_CK ,,,TIM17_CH1 ,,,,,EVENT OUT 
9,PB6 ,,TIM16_CH1N ,TIM4_CH1 ,TSC_G5_IO3 ,I2C1_SCL ,TIM8_CH1 ,TIM8_ETR ,USART1_TX ,,,TIM8_BKIN2 ,,,,,EVENT OUT 
8,PB7 ,,TIM17_CH1N ,TIM4_CH2 ,TSC_G5_IO4 ,I2C1_SDA ,TIM8_BKIN ,,USART1_RX ,,,TIM3_CH4 ,,,,,EVENT OUT 
10,PB8 ,,TIM16_CH1 ,TIM4_CH3 ,TSC_SYNC ,I2C1_SCL ,,,,COMP1_OUT ,CAN_RX ,TIM8_CH2 ,TIM1_BKIN ,,,,EVENT OUT 
9,PB9 ,,TIM17_CH1 ,TIM4_CH4 ,,I2C1_SDA ,,IR_OUT ,,COMP2_OUT ,CAN_TX ,TIM8_CH3 ,,,,,EVENT OUT 
4,PB10 ,,TIM2_CH3 ,,TSC_SYNC ,,,,USART3_TX ,,,,,,,,EVENT OUT 
4,PB11 ,,TIM2_CH4 ,,TSC_G6_IO1 ,,,,USART3_RX ,,,,,,,,EVENT OUT 
6,PB12 ,,,,TSC_G6_IO2 ,I2C2_SMBA ,SPI2_NSS/ I2S2_WS ,TIM1_BKIN ,USART3_CK ,,,,,,,,EVENT OUT 
AF n° ,& Pin ,AF0 ,AF1 ,AF2 ,AF3 ,AF4 ,AF5 ,AF6 ,AF7 ,AF8 ,AF9 ,AF10 ,AF12 ,,,,AF15 ,Name ,,,,,,,,,,,,,,,,
5,PB13 ,,,,TSC_G6_IO3 ,,SPI2_SCK/ I2S2_CK ,TIM1_CH1N ,USART3_CTS ,,,,,,,,EVENT OUT 
6,PB14 ,,TIM15_CH1 ,,TSC_G6_IO4 ,,SPI2_MISO/ I2S2ext_SD ,TIM1_CH2N ,USART3_RTS ,,,,,,,,EVENT OUT 
5,PB15 ,,TIM15_CH2 ,TIM15_CH1N ,,TIM1_CH3N ,SPI2_MOSI/ I2S2_SD ,,,,,,,,,,EVENT OUT 
AF n° ,Port & Pin Name ,,AF1 ,AF2 ,AF3 ,AF4 ,AF5 ,AF6 ,AF7 ,,,,,,,,
1,PC0 ,,EVENTOUT ,,,,,,,,,,,,,,
1,PC1 ,,EVENTOUT ,,,,,,,,,,,,,,
2,PC2 ,,EVENTOUT ,,COMP7_OUT ,,,,,,,,,,,,
2,PC3 ,,EVENTOUT ,,,,,TIM1_BKIN2 ,,,,,,,,,
2,PC4 ,,EVENTOUT ,,,,,,USART1_TX ,,,,,,,,
3,PC5 ,,EVENTOUT ,,TSC_G3_IO1 ,,,,USART1_RX ,,,,,,,,
5,PC6 ,,EVENTOUT ,TIM3_CH1 ,,TIM8_CH1 ,,I2S2_MCK ,COMP6_OUT ,,,,,,,,
5,PC7 ,,EVENTOUT ,TIM3_CH2 ,,TIM8_CH2 ,,I2S3_MCK ,COMP5_OUT ,,,,,,,,
4,PC8 ,,EVENTOUT ,TIM3_CH3 ,,TIM8_CH3 ,,,COMP3_OUT ,,,,,,,,
5,PC9 ,,EVENTOUT ,TIM3_CH4 ,,TIM8_CH4 ,I2S_CKIN ,TIM8_BKIN2 ,,,,,,,,,
5,PC10 ,,EVENTOUT ,,,TIM8_CH1N ,UART4_TX ,SPI3_SCK/I2S3_CK ,USART3_TX ,,,,,,,,
5,PC11 ,,EVENTOUT ,,,TIM8_CH2N ,UART4_RX ,SPI3_MISO/I2S3ext_SD ,USART3_RX ,,,,,,,,
5,PC12 ,,EVENTOUT ,,,TIM8_CH3N ,UART5_TX ,SPI3_MOSI/I2S3_SD ,USART3_CK ,,,,,,,,
,PC13 ,,,,,TIM1_CH1N ,,,,,,,,,,,
,PC14 ,,,,,,,,,,,,,,,,
,PC15 ,,,,,,,,,,,,,,,,
AF n° ,Port & Pin Name ,AF1 ,AF2 ,AF3 ,AF1 ,AF5 ,AF6 ,AF7 ,,,,,,,,,
2,PD0 ,EVENTOUT ,,,,,,CAN_RX ,,,,,,,,,
4,PD1 ,EVENTOUT ,,,TIM8_CH4 ,,TIM8_BKIN2 ,CAN_TX ,,,,,,,,,
4,PD2 ,EVENTOUT ,TIM3_ETR ,,TIM8_BKIN ,UART5_RX ,,,,,,,,,,,
3,PD3 ,EVENTOUT ,TIM2_CH1_ETR ,,,,,USART2_CTS ,,,,,,,,,
3,PD4 ,EVENTOUT ,TIM2_CH2 ,,,,,USART2_RTS ,,,,,,,,,
2,PD5 ,EVENTOUT ,,,,,,USART2_TX ,,,,,,,,,
3,PD6 ,EVENTOUT ,TIM2_CH4 ,,,,,USART2_RX ,,,,,,,,,
3,PD7 ,EVENTOUT ,TIM2_CH3 ,,,,,USART2_CK ,,,,,,,,,
2,PD8 ,EVENTOUT ,,,,,,USART3_TX ,,,,,,,,,
2,PD9 ,EVENTOUT ,,,,,,USART3_RX ,,,,,,,,,
2,PD10 ,EVENTOUT ,,,,,,USART3_CK ,,,,,,,,,
2,PD11 ,EVENTOUT ,,,,,,USART3_CTS ,,,,,,,,,
4,PD12 ,EVENTOUT ,TIM4_CH1 ,TSC_G8_IO1 ,,,,USART3_RTS ,,,,,,,,,
3,PD13 ,EVENTOUT ,TIM4_CH2 ,TSC_G8_IO2 ,,,,,,,,,,,,,
3,PD14 ,EVENTOUT ,TIM4_CH3 ,TSC_G8_IO3 ,,,,,,,,,,,,,
4,PD15 ,EVENTOUT ,TIM4_CH4 ,TSC_G8_IO4 ,,,SPI2_NSS ,,,,,,,,,,
AF n° ,Port & Pin Name ,AF0 ,AF1 ,AF2 ,AF3 ,AF4 ,AF6 ,AF7 ,,,,,,,,,
4,PE0 ,,EVENTOUT ,TIM4_ETR ,,TIM16_CH1 ,,USART1_TX ,,,,,,,,,
3,PE1 ,,EVENTOUT ,,,TIM17_CH1 ,,USART1_RX ,,,,,,,,,
4,PE2 ,TRACECK ,EVENTOUT ,TIM3_CH1 ,TSC_G7_IO1 ,,,,,,,,,,,,
4,PE3 ,TRACED0 ,EVENTOUT ,TIM3_CH2 ,TSC_G7_IO2 ,,,,,,,,,,,,
4,PE4 ,TRACED1 ,EVENTOUT ,TIM3_CH3 ,TSC_G7_IO3 ,,,,,,,,,,,,
4,PE5 ,TRACED2 ,EVENTOUT ,TIM3_CH4 ,TSC_G7_IO4 ,,,,,,,,,,,,
2,PE6 ,TRACED3 ,EVENTOUT ,,,,,,,,,,,,,,
2,PE7 ,,EVENTOUT ,TIM1_ETR ,,,,,,,,,,,,,
2,PE8 ,,EVENTOUT ,TIM1_CH1N ,,,,,,,,,,,,,
2,PE9 ,,EVENTOUT ,TIM1_CH1 ,,,,,,,,,,,,,
2,PE10 ,,EVENTOUT ,TIM1_CH2N ,,,,,,,,,,,,,
2,PE11 ,,EVENTOUT ,TIM1_CH2 ,,,,,,,,,,,,,
2,PE12 ,,EVENTOUT ,TIM1_CH3N ,,,,,,,,,,,,,
2,PE13 ,,EVENTOUT ,TIM1_CH3 ,,,,,,,,,,,,,
3,PE14 ,,EVENTOUT ,TIM1_CH4 ,,,TIM1_BKIN2 ,,,,,,,,,,
3,PE15 ,,EVENTOUT ,TIM1_BKIN ,,,,USART3_RX ,,,,,,,,,
AF n° ,Port & Pin Name ,,AF1 ,AF2 ,AF3 ,AF4 ,AF5 ,AF6 ,AF7 ,,,,,,,,
2,PF0 ,,,,,I2C2_SDA ,,TIM1_CH3N ,,,,,,,,,
1,PF1 ,,,,,I2C2_SCL ,,,,,,,,,,,
1,PF2 ,,EVENTOUT ,,,,,,,,,,,,,,
2,PF4 ,,EVENTOUT ,COMP1_OUT ,,,,,,,,,,,,,
4,PF6 ,,EVENTOUT ,TIM4_CH4 ,,I2C2_SCL ,,,USART3_RTS ,,,,,,,,
3,PF9 ,,EVENTOUT ,,TIM15_CH1 ,,SPI2_SCK ,,,,,,,,,,
3,PF10 ,,EVENTOUT ,,TIM15_CH2 ,,SPI2_SCK ,,,,,,,,,,
